2.3000, -1.3000, 10.0000
1.4817, -1.2956, 9.5026
0.7444, -1.2878, 9.0387
0.0804, -1.2832, 8.6057
-0.5201, -1.2870, 8.2010
-1.0680, -1.3031, 7.8228
-1.5746, -1.3344, 7.4694
-2.0515, -1.3835, 7.1399
-2.5103, -1.4525, 6.8334
-2.9623, -1.5432, 6.5498
-3.4186, -1.6575, 6.2895
-3.8902, -1.7976, 6.0534
-4.3880, -1.9654, 5.8427
-4.9228, -2.1633, 5.6599
-5.5056, -2.3936, 5.5078
-6.1474, -2.6588, 5.3907
-6.8591, -2.9611, 5.3138
-7.6517, -3.3022, 5.2840
-8.5356, -3.6830, 5.3097
-9.5204, -4.1024, 5.4014
-10.6134, -4.5570, 5.5713
-11.8192, -5.0394, 5.8332
-13.1370, -5.5369, 6.2018
-14.5589, -6.0297, 6.6909
-16.0665, -6.4898, 7.3114
-17.6282, -6.8800, 8.0669
-19.1963, -7.1554, 8.9496
-20.7057, -7.2669, 9.9348
-22.0752, -7.1686, 10.9769
-23.2131, -6.8282, 12.0103
-24.0265, -6.2378, 12.9540
-24.4356, -5.4228, 13.7250
-24.3878, -4.4417, 14.2541
-23.8688, -3.3778, 14.5017
-22.9065, -2.3221, 14.4655
-21.5667, -1.3552, 14.1782
-19.9405, -0.5337, 13.6959
-18.1300, 0.1146, 13.0841
-16.2339, 0.5879, 12.4037
-14.3379, 0.9029, 11.7036
-12.5088, 1.0863, 11.0181
-10.7943, 1.1675, 10.3677
-9.2240, 1.1744, 9.7620
-7.8126, 1.1307, 9.2038
-6.5637, 1.0555, 8.6913
-5.4730, 0.9630, 8.2205
-4.5308, 0.8635, 7.7867
-3.7243, 0.7643, 7.3853
-3.0394, 0.6699, 7.0119
-2.4615, 0.5833, 6.6631
-1.9764, 0.5060, 6.3359
-1.5709, 0.4386, 6.0277
-1.2328, 0.3811, 5.7367
-0.9511, 0.3333, 5.4613
-0.7162, 0.2945, 5.2001
-0.5195, 0.2643, 4.9522
-0.3536, 0.2419, 4.7166
-0.2121, 0.2267, 4.4926
-0.0894, 0.2184, 4.2796
0.0192, 0.2164, 4.0769
0.1180, 0.2206, 3.8840
0.2108, 0.2308, 3.7004
0.3008, 0.2472, 3.5258
0.3914, 0.2699, 3.3597
0.4854, 0.2993, 3.2018
0.5857, 0.3361, 3.0519
0.6953, 0.3810, 2.9096
0.8173, 0.4351, 2.7749
0.9551, 0.4996, 2.6475
1.1123, 0.5762, 2.5276
1.2931, 0.6666, 2.4152
1.5021, 0.7732, 2.3106
1.7447, 0.8986, 2.2144
2.0271, 1.0460, 2.1275
2.3566, 1.2192, 2.0509
2.7415, 1.4223, 1.9867
3.1915, 1.6604, 1.9372
3.7180, 1.9390, 1.9061
4.3336, 2.2645, 1.8984
5.0533, 2.6437, 1.9209
5.8934, 3.0836, 1.9829
6.8723, 3.5910, 2.0968
8.0092, 4.1716, 2.2794
9.3237, 4.8282, 2.5521
10.8338, 5.5588, 2.9424
12.5528, 6.3522, 3.4833
14.4848, 7.1841, 4.2125
16.6178, 8.0106, 5.1684
18.9150, 8.7626, 6.3819
21.3046, 9.3427, 7.8629
23.6709, 9.6306, 9.5823
25.8513, 9.5007, 11.4532
27.6461, 8.8560, 13.3223
28.8447, 7.6712, 14.9848
29.2689, 6.0250, 16.2294
28.8186, 4.0982, 16.9022
27.5023, 2.1276, 16.9578
25.4360, 0.3353, 16.4690
22.8119, -1.1297, 15.5900
19.8506, -2.2119, 14.4987
16.7582, -2.9333, 13.3490
13.6989, -3.3610, 12.2473
10.7863, -3.5762, 11.2523
8.0865, -3.6543, 10.3869
5.6274, -3.6564, 9.6511
3.4101, -3.6276, 9.0343
1.4181, -3.5989, 8.5223
-0.3753, -3.5910, 8.1012
-2.0018, -3.6164, 7.7601
-3.4945, -3.6824, 7.4911
-4.8859, -3.7924, 7.2897
-6.2061, -3.9471, 7.1544
-7.4823, -4.1448, 7.0863
-8.7376, -4.3815, 7.0887
-9.9907, -4.6511, 7.1663
-11.2549, -4.9443, 7.3249
-12.5373, -5.2485, 7.5706
-13.8376, -5.5473, 7.9080
-15.1467, -5.8200, 8.3389
-16.4463, -6.0419, 8.8603
-17.7073, -6.1856, 9.4622
-18.8908, -6.2235, 10.1252
-19.9494, -6.1312, 10.8201
-20.8307, -5.8927, 11.5079
-21.4827, -5.5043, 12.1433
-21.8604, -4.9786, 12.6803
-21.9326, -4.3444, 13.0786
-21.6877, -3.6435, 13.3111
-21.1365, -2.9244, 13.3676
-20.3109, -2.2345, 13.2560
-19.2601, -1.6127, 12.9989
-18.0437, -1.0856, 12.6277
-16.7249, -0.6664, 12.1770
-15.3637, -0.3559, 11.6792
-14.0129, -0.1466, 11.1612
-12.7153, -0.0256, 10.6431
-11.5032, 0.0220, 10.1387
-10.3987, 0.0110, 9.6564
-9.4156, -0.0454, 9.2005
-8.5605, -0.1363, 8.7725
-7.8352, -0.2531, 8.3725
-7.2376, -0.3897, 7.9995
-6.7637, -0.5417, 7.6524
-6.4083, -0.7067, 7.3300
-6.1657, -0.8838, 7.0316
-6.0307, -1.0731, 6.7568
-5.9990, -1.2755, 6.5057
-6.0673, -1.4931, 6.2790
-6.2334, -1.7280, 6.0783
-6.4968, -1.9830, 5.9057
-6.8582, -2.2611, 5.7643
-7.3195, -2.5651, 5.6582
-7.8838, -2.8976, 5.5929
-8.5550, -3.2606, 5.5750
-9.3372, -3.6549, 5.6130
-10.2341, -4.0792, 5.7167
-11.2480, -4.5299, 5.8975
-12.3780, -4.9989, 6.1680
-13.6190, -5.4733, 6.5410
-14.9583, -5.9335, 7.0279
-16.3741, -6.3523, 7.6362
-17.8321, -6.6950, 8.3662
-19.2838, -6.9209, 9.2066
-20.6656, -6.9871, 10.1308
-21.9015, -6.8559, 11.0942
-22.9076, -6.5030, 12.0352
-23.6024, -5.9275, 12.8816
-23.9179, -5.1567, 13.5615
-23.8122, -4.2460, 14.0177
-23.2777, -3.2697, 14.2190
-22.3438, -2.3072, 14.1664
-21.0715, -1.4277, 13.8899
-19.5438, -0.6796, 13.4391
-17.8522, -0.0871, 12.8707
-16.0853, 0.3480, 12.2379
-14.3201, 0.6395, 11.5838
-12.6177, 0.8100, 10.9390
-11.0220, 0.8850, 10.3226
-9.5612, 0.8888, 9.7444
-8.2501, 0.8425, 9.2075
-7.0936, 0.7630, 8.7113
-6.0890, 0.6633, 8.2529
-5.2289, 0.5528, 7.8285
-4.5028, 0.4379, 7.4343
-3.8992, 0.3228, 7.0667
-3.4057, 0.2097, 6.7225
-3.0107, 0.0996, 6.3994
-2.7033, -0.0073, 6.0951
-2.4740, -0.1119, 5.8079
-2.3145, -0.2153, 5.5367
-2.2179, -0.3191, 5.2805
-2.1789, -0.4253, 5.0384
-2.1936, -0.5361, 4.8101
-2.2596, -0.6539, 4.5952
-2.3759, -0.7814, 4.3938
-2.5428, -0.9214, 4.2062
